PERSON,ward,send,DATE,"18 months ago",1,"[ ""LFC should sell Reina, he's lost it."" , ""quite funny really after he got Ward sent off 18 months ago."" , ""The guy's a clown.""]"
PERSON,"andy carroll",show,DATE,tonight,1,"[ ""Andy Carroll, you showed balls tonight."" , ""It's cliche, but next year is our year LFC""]"
PERSON,"kenny dalglish",think,DATE,now,1,"[ ""Kenny Dalglish will now be desperately thinking of people and things to blame!"" , ""FACup""]"
PERSON,chelsea,tire,DATE,now,1,"[ ""Chelsea are tiring rapidly now, bloody see Gerrard doing his bloody 2006 thing against west ham again."" , ""I'm not bitter lfc cfc FAcupfinal""]"
PERSON,"chelsea chelsea chelsea",wat,DATE,now,1,"[ ""Chelsea Chelsea Chelsea Now wats left is champions league!"" , ""My blood is bluuuuuue!""]"
PERSON,chelsea,be,DURATION,seconds,1,"[ ""Into the final minute!"" , ""Chelsea are seconds away from glory!"" , ""FACup""]"
PERSON,"arsene wenger",fail,DURATION,"few months",1,"[ ""Roberto Di Matteo, achieving in a few months what Arsene Wenger has failed to do for the last seven years."" , ""Hahahahaha CFC""]"
PERSON,"graham norton",get,DURATION,month,1,"[ ""I'd this commentator taking the piss?"" , ""He's dirty minded as fuck!"" , ""moist month, Graham Norton got inside him last night FACupFinal lfc""]"
PERSON,drogba,win,DURATION,"few minutes",1,"[ ""Drogba winning a few minutes and breaking down Liverpool's tempo by staying down."" , ""CFC""]"
PERSON,carroll,warm,LOCATION,wembley,1,"[ ""Big applause from Liverpool fans as Carroll warms up Wembley""]"
PERSON,suarez,"be getting",NUMBER,2,1,"[ ""I reckon it'll be Liverpool 3 Chelsea 2 with Suarez getting 2, Gerrard 1 and Drogba and Terry scoring for Chelsea.""]"
PERSON,chelsea,"be leading",NUMBER,"2 1",1,"[ ""A minute of normal time to go, Chelsea leading 2 1."" , ""Follow the closing minutes here cfc lfc""]"
PERSON,"steve cook paddy power","be offering",NUMBER,"45 1",1,"[ ""Steve Cook Paddy Power offering 45 1 on Chelsea to win by four goals.cfc""]"
PERSON,chelsea,"be winning",NUMBER,"2 0",1,"[ ""Chelsea winning 2 0?"" , ""Sweet."" , ""I'll practically support any team fighting for cup."" , ""facup""]"
PERSON,"liv facup",che,NUMBER,"2 0",1,"[ ""Gol Drogba!"" , ""Che 2 0 Liv FAcup""]"
PERSON,reina,do,NUMBER,?!,1,"[ ""What is Reina doing?!"" , ""lfc FACupFinal""]"
PERSON,drogba,fire,NUMBER,one,1,"[ ""Drogba fires one from long range but it's a few yards wide CFCWembley FACupFinal SL""]"
PERSON,chelsea,go,NUMBER,"1 0",1,"[ ""Ramires!"" , ""Chelsea go 1 0 up after 11 minutes."" , ""facupfinal""]"
PERSON,"andy carroll",score,NUMBER,"2 1",1,"[ ""Andy Carroll scores 2 1 now Liverpool comeback on!"" , ""Chelsea FACupFinal""]"
PERSON,suarez,shout,NUMBER,one,1,"[ ""Can anyone explain why Suarez was shouting 'One, One' in the linesmans face."" , ""FACupFinal""]"
PERSON,chelsea,take,NUMBER,"2 1",1,"[ ""Fuck."" , ""Chelsea took the W 2 1."" , ""LFC""]"
PERSON,"jordan henderson",wank,NUMBER,"20 million",1,"[ ""Just behind jordan henderson who is also wank 20 million?"" , ""Hahahahahah lfc""]"
PERSON,chelsea,play,ORDINAL,first,1,"[ ""Chelsea play like champs out of the blocks first and hang on with swift attack facupfinal""]"
PERSON,"ashley cole",player,ORDINAL,first,1,"[ ""Ashley Cole first player to win FA Cup for the SEVENTH time."" , ""The man talks with his football feet cfc facup""]"
PERSON,chelsea,beat,ORGANIZATION,united,1,"[ ""Chelsea should not have beaten United in '07 but you know, whatever cfc lfc FACupFinal""]"
PERSON,"andy carroll",come,ORGANIZATION,lfc,1,"[ ""Gutted but well done CFC fully deserved it, we didnt turn up til Andy Carroll came on LFC""]"
PERSON,chelsea,hate,ORGANIZATION,liverpool,1,"[ ""Hate both Liverpool and Chelsea equally but if I have to pick one then surely Chelsea.that being a hardcore Man United supporterFACupfinal""]"
PERSON,cech,hold,ORGANIZATION,cfc,1,"[ ""Cech should have held it CFC""]"
PERSON,"jimmy armfield",manage,ORGANIZATION,leeds,1,"[ ""Jimmy Armfield managed Leeds back in 78 FACup""]"
PERSON,"adrian chiles",be,PERSON,"ray mears",1,"[ ""Adrian Chiles is just Ray Mears without the survival skills."" , ""FACupFinal""]"
PERSON,suarez,"be getting",PERSON,drogba,1,"[ ""I reckon it'll be Liverpool 3 Chelsea 2 with Suarez getting 2, Gerrard 1 and Drogba and Terry scoring for Chelsea.""]"
PERSON,"kevin keegan","be saying",PERSON,"charlie adams",1,"[ ""Kevin Keegan saying Charlie Adams."" , ""Mother of god, it's fucking Adam."" , ""How would he like it if we called him Keegans."" , ""LFC""]"
PERSON,drogba,bring,PERSON,drogba,1,"[ ""Drogba has brought inspiration to all African's nation.Especially the youth.Good job Drogba and Co."" , ""drogba CFC""]"
PERSON,"andy carroll",bully,PERSON,"john terry",1,"[ ""positives Andy carroll bullied john terry like a schoolkid when he came on amd skinned him like maradona and roofed it loved that lfc""]"
PERSON,carroll,clatter,PERSON,bellamy,1,"[ ""Carroll just clattered Bellamy."" , ""Legitimately don't think he saw him down there."" , ""LFC""]"
PERSON,"roy keane",give,PERSON,"adrian chiles",1,"[ ""I miss Roy Keane giving Adrian Chiles the look of a murderer FACup""]"
PERSON,chelsea,hate,PERSON,chelsea,1,"[ ""Hate both Liverpool and Chelsea equally but if I have to pick one then surely Chelsea.that being a hardcore Man United supporterFACupfinal""]"
PERSON,cotto,knock,PERSON,mayweather,1,"[ ""My sports day has been good so far."" , ""chelsea are FACup champions."" , ""Now Cotto to knock Mayweather, and my day will be complete.""]"
PERSON,johnson,merk,PERSON,drogba,1,"[ ""Johnson actually merked Drogba then FACup""]"
PERSON,carroll,own,PERSON,terry,1,"[ ""Carroll just owned Terry."" , ""Lmao watching the replay!"" , ""FAcupfinal fb""]"
PERSON,meireles,replace,PERSON,ramires,1,"[ ""Good sub."" , ""Meireles replaces Ramires."" , ""CFC""]"
PERSON,cech,save,PERSON,chelsea,1,"[ ""Cech saved Chelsea!"" , ""Simple."" , ""FACupFinal""]"
PERSON,carroll,sell,PERSON,terry,1,"[ ""How good did Carroll sell Terry."" , ""Haha quality!"" , ""YNWA FACupFinal""]"
PERSON,drogba,take,PERSON,terry,1,"[ ""Never leave us Drogba take Terry instead CFC""]"
PERSON,kenny,trust,PERSON,henderson,1,"[ ""This system can only work if Gerrard plays just off Suarez.Gerrard and Kenny obviously don't trust Henderson and Spearing LFC facupfinal""]"
PERSON,andy,turn,PERSON,"john terry",1,"[ ""Oooh!"" , ""Andy turned John Terry inside out!"" , ""Liverpool back in it."" , ""FACupFinal via""]"
"PERSON,ORGANIZATION",chelsea,let,DATE,now,1,"[ ""Great win Chelsea now lets win the champions league Chelsea FACupFinal""]"
"PERSON,ORGANIZATION",chelsea,be,MISC,"fa cup champions",1,"[ ""Chelsea are FA Cup Champions!"" , ""Chelsea 2 Liverpool 1 di Matteo got the job yet?"" , ""FACup""]"
